https://www.pro-football-reference.com/play-index/pgl_finder.cgi?request=1&match=game&year_min=2004&year_max=2019&season_start=1&season_end=-1&pos%5B%5D=QB&is_starter=E&game_type=E&league_id=NFL&career_game_num_min=1&career_game_num_max=400&qb_start_num_min=1&qb_start_num_max=400&game_num_min=0&game_num_max=99&week_num_min=0&week_num_max=99&c1stat=pass_att&c1comp=gt&c1val=0&c2stat=rush_att&c2comp=gt&c2val=0&c3stat=fumbles&c3comp=gt&c3val=0&c5val=1.0&order_by=game_date&offset=8800
Sat Oct 26 2019 12:49:35 GMT-0700 (Pacific Daylight Time)

player,date,team,home,opp,game,week,day,completions,passatt,passyards,passtds,ints,sacks,sackyards,rushatt,rushyards,rushtds,fumbles
Kerry Collins,2005-12-18,OAK,,CLE,14,15,Sun,14,30,132,1,1,3,19,2,1,0,0
Jake Delhomme,2005-12-18,CAR,@,NOR,14,15,Sun,13,21,176,1,1,1,11,1,2,1,0
Koy Detmer,2005-12-18,PHI,@,STL,14,15,Sun,0,0,0,0,0,0,,0,0,0,0
Ryan Fitzpatrick,2005-12-18,STL,,PHI,14,15,Sun,10,24,69,1,1,0,0,1,3,0,0
Gus Frerotte,2005-12-18,MIA,,NYJ,14,15,Sun,8,16,76,1,1,1,6,1,3,0,0
Charlie Frye,2005-12-18,CLE,@,OAK,14,15,Sun,21,32,198,0,1,2,13,7,11,0,0
Jeff Garcia,2005-12-18,DET,,CIN,14,15,Sun,13,21,138,1,3,1,4,1,2,0,0
David Garrard,2005-12-18,JAX,,SFO,14,15,Sun,21,40,216,0,0,2,14,5,27,1,0
Rex Grossman,2005-12-18,CHI,,ATL,14,15,Sun,9,16,93,0,1,0,0,0,0,0,0
Joey Harrington,2005-12-18,DET,,CIN,14,15,Sun,6,7,77,1,0,0,0,0,0,0,0
Matt Hasselbeck,2005-12-18,SEA,@,TEN,14,15,Sun,21,27,285,3,0,1,9,5,1,0,0
Brad Johnson,2005-12-18,MIN,,PIT,14,15,Sun,16,30,143,0,2,2,12,1,6,0,0
Jon Kitna,2005-12-18,CIN,@,DET,14,15,Sun,2,3,6,0,0,0,0,1,11,0,0
Peyton Manning,2005-12-18,IND,,SDG,14,15,Sun,26,45,336,1,2,4,22,2,-1,0,0
Jamie Martin,2005-12-18,STL,,PHI,14,15,Sun,8,11,58,0,0,0,0,0,0,0,0
Josh McCown,2005-12-18,ARI,@,HOU,14,15,Sun,1,4,12,0,1,0,0,0,0,0,0
Mike McMahon,2005-12-18,PHI,@,STL,14,15,Sun,15,28,97,1,3,4,21,7,17,0,0
Steve McNair,2005-12-18,TEN,,SEA,14,15,Sun,23,38,310,2,0,0,0,2,13,0,0
John Navarre,2005-12-18,ARI,@,HOU,14,15,Sun,14,24,174,1,1,4,27,0,0,0,0
Kyle Orton,2005-12-18,CHI,,ATL,14,15,Sun,2,10,12,0,0,1,7,0,0,0,0
Carson Palmer,2005-12-18,CIN,@,DET,14,15,Sun,28,39,274,3,2,2,9,1,8,0,0
Ben Roethlisberger,2005-12-18,PIT,@,MIN,14,15,Sun,10,15,149,0,0,4,16,6,7,1,0
Tony Romo,2005-12-18,DAL,@,WAS,14,15,Sun,0,0,0,0,0,,,0,0,0,0
Sage Rosenfels,2005-12-18,MIA,,NYJ,14,15,Sun,6,13,99,1,0,0,0,4,10,0,0
Matt Schaub,2005-12-18,ATL,@,CHI,14,15,Sun,0,0,0,0,0,0,,0,0,0,0
Alex Smith,2005-12-18,SFO,@,JAX,14,15,Sun,8,24,123,0,1,2,16,4,30,0,0
Marques Tuiasosopo,2005-12-18,OAK,,CLE,14,15,Sun,0,0,0,0,0,0,0,0,0,0,0
Michael Vick,2005-12-18,ATL,@,CHI,14,15,Sun,13,32,122,0,2,2,5,6,35,0,0
Kurt Warner*,2005-12-18,ARI,@,HOU,14,15,Sun,10,10,115,1,0,2,12,0,0,0,0
Tom Brady,2005-12-17,NWE,,TAM,14,15,Sat,20,31,258,3,0,1,5,3,6,0,0
Todd Collins,2005-12-17,KAN,@,NYG,14,15,Sat,0,0,0,0,0,0,0,0,0,0,0
Trent Green,2005-12-17,KAN,@,NYG,14,15,Sat,15,28,176,0,1,1,2,2,21,0,0
Tim Hasselbeck,2005-12-17,NYG,,KAN,14,15,Sat,0,0,0,0,0,0,0,0,0,0,0
