https://www.pro-football-reference.com/play-index/pgl_finder.cgi?request=1&match=game&year_min=2004&year_max=2019&season_start=1&season_end=-1&pos%5B%5D=QB&is_starter=E&game_type=E&league_id=NFL&career_game_num_min=1&career_game_num_max=400&qb_start_num_min=1&qb_start_num_max=400&game_num_min=0&game_num_max=99&week_num_min=0&week_num_max=99&c1stat=pass_att&c1comp=gt&c1val=0&c2stat=rush_att&c2comp=gt&c2val=0&c3stat=fumbles&c3comp=gt&c3val=0&c5val=1.0&order_by=game_date&offset=7200
Sat Oct 26 2019 12:44:37 GMT-0700 (Pacific Daylight Time)

player,date,team,home,opp,game,week,day,completions,passatt,passyards,passtds,ints,sacks,sackyards,rushatt,rushyards,rushtds,fumbles
Tom Brady,2008-09-07,NWE,,KAN,1,1,Sun,7,11,76,0,0,0,0,0,0,0,0
Drew Brees,2008-09-07,NOR,,TAM,1,1,Sun,23,32,343,3,1,1,6,3,-2,0,1
Marc Bulger,2008-09-07,STL,@,PHI,1,1,Sun,14,26,158,0,0,4,28,0,0,0,1
Matt Cassel,2008-09-07,NWE,,KAN,1,1,Sun,13,18,152,1,0,2,16,4,13,0,0
Kerry Collins,2008-09-07,TEN,,JAX,1,1,Sun,2,2,65,0,0,0,0,1,0,0,0
Brodie Croyle,2008-09-07,KAN,@,NWE,1,1,Sun,11,19,88,0,0,1,10,0,0,0,0
Jake Delhomme,2008-09-07,CAR,@,SDG,1,1,Sun,23,41,247,1,0,1,1,0,0,0,0
Trent Edwards,2008-09-07,BUF,,SEA,1,1,Sun,19,30,215,1,0,1,2,1,-1,0,0
Brett Favre*,2008-09-07,NYJ,@,MIA,1,1,Sun,15,22,194,2,0,3,13,3,2,0,2
Joe Flacco,2008-09-07,BAL,,CIN,1,1,Sun,15,29,129,0,0,0,0,4,37,1,0
Jeff Garcia,2008-09-07,TAM,@,NOR,1,1,Sun,24,41,221,1,1,2,15,1,1,0,0
David Garrard,2008-09-07,JAX,@,TEN,1,1,Sun,23,35,215,1,2,7,59,3,2,0,1
